,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
lightgbm,Light Gradient Boosting Machine,127.2656,27398.5831,165.516,0.643,0.2057,0.2168,0.492
gbr,Gradient Boosting Regressor,128.1221,27666.7812,166.3235,0.6395,0.2067,0.2179,0.55
lr,Linear Regression,136.1359,31078.5305,176.2844,0.595,0.2154,0.2269,0.586
ridge,Ridge Regression,136.136,31078.5953,176.2846,0.595,0.2154,0.2269,0.318
br,Bayesian Ridge,136.1355,31078.6176,176.2847,0.595,0.2154,0.2269,0.012
lasso,Lasso Regression,136.151,31094.8238,176.3307,0.5948,0.2155,0.2271,0.276
llar,Lasso Least Angle Regression,136.151,31094.8281,176.3307,0.5948,0.2155,0.2271,0.014
lar,Least Angle Regression,136.2375,31106.1508,176.3627,0.5947,0.2155,0.2268,0.298
huber,Huber Regressor,137.1027,31562.3268,177.6385,0.5887,0.2167,0.2287,0.384
rf,Random Forest Regressor,142.389,34080.3188,184.6034,0.5559,0.2221,0.2319,0.67
ada,AdaBoost Regressor,148.0151,36325.2261,190.5743,0.5266,0.2215,0.2267,0.12
knn,K Neighbors Regressor,147.6415,36907.2359,192.1076,0.519,0.2313,0.2423,0.034
et,Extra Trees Regressor,150.4977,38267.7562,195.6151,0.5013,0.2367,0.2405,0.582
en,Elastic Net,153.9607,39183.432,197.9422,0.4894,0.2389,0.2511,0.014
omp,Orthogonal Matching Pursuit,168.1451,46376.9477,215.3475,0.3957,0.257,0.2677,0.012
dt,Decision Tree Regressor,166.5559,46995.9605,216.7802,0.3875,0.2668,0.2585,0.026
par,Passive Aggressive Regressor,222.5098,79708.6506,265.3122,-0.0484,0.2882,0.3245,0.02
dummy,Dummy Regressor,228.8836,76776.3047,277.0746,-0.0003,0.3235,0.3458,0.012
